LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,15.438784496858716,space,23.46177901700139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,0,0,1,,,,,,,,,,,,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,l,2.6244113729335368,10,10,0,65.70012441789731,67.19981507584453,67.19981507584453,67.69983307272196,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,1,1,9,,,,,,,,,,,,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,a,1.307223638985306,10,20,0,69.03562314994633,70.5361360986717,70.5361360986717,71.03651312878355,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,2,2,6,,,,,,,,,,,,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,a,1.098920516204089,1,21,0,72.1551935817115,,73.6557134790346,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,3,3,5,,,,,,,,,,,,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,a,2.2434682180173695,1,22,0,76.42356880800799,77.9240831467323,77.9240831467323,78.42382468981668,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,4,4,0,,,,,,,,,,,,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,a,2.385074400343001,1,23,0,80.82684254786,82.3273147456348,82.3273147456348,82.82737660966814,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,5,5,11,,,,,,,,,,,,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,a,2.572445028927177,1,24,0,85.43049166398123,86.93106843158603,86.93106843158603,87.43083231570199,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,6,6,8,,,,,,,,,,,,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,a,1.8384283320046961,1,25,0,89.30029949964955,90.80075037200004,90.80075037200004,91.30084890360013,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,7,7,4,,,,,,,,,,,,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,l,1.2314851749688387,10,35,0,92.5528137399815,,94.05387179693207,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,8,8,7,,,,,,,,,,,,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,a,1.8709888067096472,1,36,0,96.4561133296229,97.95527669601142,97.95527669601142,98.45518516888842,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,9,9,2,,,,,,,,,,,,98.45518516888842,98.45518516888842,98.45518516888842,98.45518516888842,98.45518516888842,98.45518516888842,98.45518516888842,98.45518516888842,98.45518516888842,98.45518516888842,l,0.9740221006795764,10,46,0,99.45882779080421,100.9579484895803,100.9579484895803,101.45848577283323,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,10,10,10,,,,,,,,,,,,101.45848577283323,101.45848577283323,101.45848577283323,101.45848577283323,101.45848577283323,101.45848577283323,101.45848577283323,101.45848577283323,101.45848577283323,101.45848577283323,a,0.8500783061608672,10,56,0,102.32535671489313,,103.8276170026511,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,11,11,3,,,,,,,,,,,,104.32764679985121,104.32764679985121,104.32764679985121,104.32764679985121,104.32764679985121,104.32764679985121,104.32764679985121,104.32764679985121,104.32764679985121,104.32764679985121,a,2.7739077494479716,10,66,0,107.1287608249113,,108.63122799480334,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,0,12,1,,,,,,,,,,,,109.13138532685116,109.13138532685116,109.13138532685116,109.13138532685116,109.13138532685116,109.13138532685116,109.13138532685116,109.13138532685116,109.13138532685116,109.13138532685116,l,1.6607798971235752,10,76,0,110.81535683060065,112.31604368565604,112.31604368565604,112.81614148477092,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,1,13,8,,,,,,,,,,,,112.81614148477092,112.81614148477092,112.81614148477092,112.81614148477092,112.81614148477092,112.81614148477092,112.81614148477092,112.81614148477092,112.81614148477092,112.81614148477092,l,1.9130715252831578,1,77,0,114.75344281969592,,116.26915580267087,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,2,14,4,,,,,,,,,,,,116.76924850093201,116.76924850093201,116.76924850093201,116.76924850093201,116.76924850093201,116.76924850093201,116.76924850093201,116.76924850093201,116.76924850093201,116.76924850093201,l,1.9435133999213576,1,78,0,118.73851474095136,120.23904494987801,120.23904494987801,120.73901921091601,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,3,15,0,,,,,,,,,,,,120.73901921091601,120.73901921091601,120.73901921091601,120.73901921091601,120.73901921091601,120.73901921091601,120.73901921091601,120.73901921091601,120.73901921091601,120.73901921091601,l,1.3482308238744736,1,79,0,122.1063127447851,,123.60873561585322,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,4,16,10,,,,,,,,,,,,124.10919919470325,124.10919919470325,124.10919919470325,124.10919919470325,124.10919919470325,124.10919919470325,124.10919919470325,124.10919919470325,124.10919919470325,124.10919919470325,a,1.6127571603283286,1,80,0,125.74308759579435,127.24360990198329,127.24360990198329,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,5,17,11,,,,,,,,,,,,127.74314115662128,127.74314115662128,127.74314115662128,127.74314115662128,127.74314115662128,127.74314115662128,127.74314115662128,127.74314115662128,127.74314115662128,127.74314115662128,a,1.173156812787056,10,90,0,128.94734717858955,130.446307471022,130.446307471022,130.94672076264396,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,6,18,9,,,,,,,,,,,,130.94672076264396,130.94672076264396,130.94672076264396,130.94672076264396,130.94672076264396,130.94672076264396,130.94672076264396,130.94672076264396,130.94672076264396,130.94672076264396,a,1.4128653220832348,1,91,0,132.38185642380267,,133.882733495906,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,7,19,5,,,,,,,,,,,,134.38293958781287,134.38293958781287,134.38293958781287,134.38293958781287,134.38293958781287,134.38293958781287,134.38293958781287,134.38293958781287,134.38293958781287,134.38293958781287,l,1.3401639028452337,10,101,0,135.7518307035789,,137.26730651780963,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,8,20,2,,,,,,,,,,,,137.76732587302104,137.76732587302104,137.76732587302104,137.76732587302104,137.76732587302104,137.76732587302104,137.76732587302104,137.76732587302104,137.76732587302104,137.76732587302104,a,1.1856496310792863,10,111,0,138.9700286197476,140.47037279000506,140.47037279000506,140.9705860489048,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,9,21,6,,,,,,,,,,,,140.9705860489048,140.9705860489048,140.9705860489048,140.9705860489048,140.9705860489048,140.9705860489048,140.9705860489048,140.9705860489048,140.9705860489048,140.9705860489048,a,2.2564677740447223,10,121,0,143.25472486484796,,144.75687416363508,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,10,22,7,,,,,,,,,,,,145.25718267681077,145.25718267681077,145.25718267681077,145.25718267681077,145.25718267681077,145.25718267681077,145.25718267681077,145.25718267681077,145.25718267681077,145.25718267681077,l,2.335324129089713,1,122,0,147.62571332696825,,149.12720600282773,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,11,23,3,,,,,,,,,,,,149.62748707598075,149.62748707598075,149.62748707598075,149.62748707598075,149.62748707598075,149.62748707598075,149.62748707598075,149.62748707598075,149.62748707598075,149.62748707598075,a,1.835180186200887,10,132,0,151.49540608376265,152.9951256038621,152.9951256038621,153.49528872175142,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,0,24,5,,,,,,,,,,,,153.49528872175142,153.49528872175142,153.49528872175142,153.49528872175142,153.49528872175142,153.49528872175142,153.49528872175142,153.49528872175142,153.49528872175142,153.49528872175142,l,1.0959107833914459,1,133,0,154.61621520202607,,156.13135312590748,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,1,25,9,,,,,,,,,,,,156.63156128674746,156.63156128674746,156.63156128674746,156.63156128674746,156.63156128674746,156.63156128674746,156.63156128674746,156.63156128674746,156.63156128674746,156.63156128674746,a,1.0531046600081027,10,143,0,157.71688391687348,,159.21781916776672,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,2,26,3,,,,,,,,,,,,159.71796662267298,159.71796662267298,159.71796662267298,159.71796662267298,159.71796662267298,159.71796662267298,159.71796662267298,159.71796662267298,159.71796662267298,159.71796662267298,l,0.9029514091089368,1,144,0,160.65245974157006,162.15218373481184,162.15218373481184,162.65237758588046,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,3,27,2,,,,,,,,,,,,162.65237758588046,162.65237758588046,162.65237758588046,162.65237758588046,162.65237758588046,162.65237758588046,162.65237758588046,162.65237758588046,162.65237758588046,162.65237758588046,l,0.691243811044842,1,145,0,163.36936711287126,,164.871658813674,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,4,28,4,,,,,,,,,,,,165.3717926866375,165.3717926866375,165.3717926866375,165.3717926866375,165.3717926866375,165.3717926866375,165.3717926866375,165.3717926866375,165.3717926866375,165.3717926866375,a,1.1552761709317565,1,146,0,166.55592506658286,168.05614029988647,168.05614029988647,168.5561279747635,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,5,29,7,,,,,,,,,,,,168.5561279747635,168.5561279747635,168.5561279747635,168.5561279747635,168.5561279747635,168.5561279747635,168.5561279747635,168.5561279747635,168.5561279747635,168.5561279747635,l,4.001902896910906,1,147,0,172.57607192359865,,174.07859545573592,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,6,30,6,,,,,,,,,,,,174.57885717367753,174.57885717367753,174.57885717367753,174.57885717367753,174.57885717367753,174.57885717367753,174.57885717367753,174.57885717367753,174.57885717367753,174.57885717367753,a,1.5224290899932384,10,157,0,176.13090084586293,177.62993426294997,177.62993426294997,178.12991076987237,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,7,31,1,,,,,,,,,,,,178.12991076987237,178.12991076987237,178.12991076987237,178.12991076987237,178.12991076987237,178.12991076987237,178.12991076987237,178.12991076987237,178.12991076987237,178.12991076987237,l,2.1460945392027497,1,158,0,180.30187761271372,,181.81673328997567,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,8,32,10,,,,,,,,,,,,182.3168295477517,182.3168295477517,182.3168295477517,182.3168295477517,182.3168295477517,182.3168295477517,182.3168295477517,182.3168295477517,182.3168295477517,182.3168295477517,l,2.1999755539000034,10,168,0,184.53801793092862,,186.05318230669945,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,9,33,8,,,,,,,,,,,,186.55367204593495,186.55367204593495,186.55367204593495,186.55367204593495,186.55367204593495,186.55367204593495,186.55367204593495,186.55367204593495,186.55367204593495,186.55367204593495,l,2.890933487098664,10,178,0,189.47296670265496,,190.97368485899642,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,10,34,0,,,,,,,,,,,,191.47372349072248,191.47372349072248,191.47372349072248,191.47372349072248,191.47372349072248,191.47372349072248,191.47372349072248,191.47372349072248,191.47372349072248,191.47372349072248,l,2.493737427983433,10,188,0,193.9931772327982,195.49378633359447,195.49378633359447,195.99390088766813,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,11,35,11,,,,,,,,,,,,195.99390088766813,195.99390088766813,195.99390088766813,195.99390088766813,195.99390088766813,195.99390088766813,195.99390088766813,195.99390088766813,195.99390088766813,195.99390088766813,a,1.3709851247258484,1,189,0,197.3962049880065,,198.8967416039668,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,3,0,36,7,,,,,,,,,,,,199.39692804496735,199.39692804496735,199.39692804496735,199.39692804496735,199.39692804496735,199.39692804496735,199.39692804496735,199.39692804496735,199.39692804496735,199.39692804496735,a,1.6018990566954017,1,190,0,201.03081304067746,202.5316603127867,202.5316603127867,203.03131232084706,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,3,1,37,1,,,,,,,,,,,,203.03131232084706,203.03131232084706,203.03131232084706,203.03131232084706,203.03131232084706,203.03131232084706,203.03131232084706,203.03131232084706,203.03131232084706,203.03131232084706,l,1.2868096721358597,10,200,0,204.35144825372845,205.85097488760948,205.85097488760948,206.35158995259553,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,3,2,38,9,,,,,,,,,,,,206.35158995259553,206.35158995259553,206.35158995259553,206.35158995259553,206.35158995259553,206.35158995259553,206.35158995259553,206.35158995259553,206.35158995259553,206.35158995259553,a,0.9936084910295904,1,201,0,207.36996372789145,,208.8706335616298,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,3,3,39,0,,,,,,,,,,,,209.3708256436512,209.3708256436512,209.3708256436512,209.3708256436512,209.3708256436512,209.3708256436512,209.3708256436512,209.3708256436512,209.3708256436512,209.3708256436512,l,1.3149164048954844,10,211,0,210.70683333463967,,212.22189654177055,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,3,4,40,2,,,,,,,,,,,,212.70533961290494,212.70533961290494,212.70533961290494,212.70533961290494,212.70533961290494,212.70533961290494,212.70533961290494,212.70533961290494,212.70533961290494,212.70533961290494,l,0.8273250828497112,10,221,0,213.55568166077137,,215.05800613574684,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,3,5,41,6,,,,,,,,,,,,215.55829517170787,215.55829517170787,215.55829517170787,215.55829517170787,215.55829517170787,215.55829517170787,215.55829517170787,215.55829517170787,215.55829517170787,215.55829517170787,a,1.5631972048431635,10,231,0,217.1422604136169,,218.6456276299432,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,3,6,42,4,,,,,,,,,,,,219.14488098258153,219.14488098258153,219.14488098258153,219.14488098258153,219.14488098258153,219.14488098258153,219.14488098258153,219.14488098258153,219.14488098258153,219.14488098258153,l,1.2051633652299643,1,232,0,220.38027422688901,,221.8957969727926,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,3,7,43,11,,,,,,,,,,,,222.37902400502935,222.37902400502935,222.37902400502935,222.37902400502935,222.37902400502935,222.37902400502935,222.37902400502935,222.37902400502935,222.37902400502935,222.37902400502935,a,1.3241548500955105,10,242,0,223.733349182643,,225.24868525890633,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,3,8,44,5,,,,,,,,,,,,225.74907894758508,225.74907894758508,225.74907894758508,225.74907894758508,225.74907894758508,225.74907894758508,225.74907894758508,225.74907894758508,225.74907894758508,225.74907894758508,a,1.8799508777447045,1,243,0,227.65177488373592,,229.1519458256662,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,3,9,45,10,,,,,,,,,,,,229.6523848567158,229.6523848567158,229.6523848567158,229.6523848567158,229.6523848567158,229.6523848567158,229.6523848567158,229.6523848567158,229.6523848567158,229.6523848567158,a,4.513457573018968,1,244,0,234.18927928665653,235.68946446897462,235.68946446897462,236.18970772484317,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,3,10,46,8,,,,,,,,,,,,236.18970772484317,236.18970772484317,236.18970772484317,236.18970772484317,236.18970772484317,236.18970772484317,236.18970772484317,236.18970772484317,236.18970772484317,236.18970772484317,l,0.7885246342048049,10,254,0,237.0090687959455,,238.52402260061353,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
